Область,Місто/Район,Значення
Житомирська,Ємільчинський р-н,933
Закарпатська,Мукачівський р-н,52
Закарпатська,Мукачево,167
Закарпатська,м.Ужгород,237
Закарпатська,Хустський р-н,290
Закарпатська,Свалявський р-н,318
Закарпатська,Іршавський р-н,397
Закарпатська,Тячівський р-н,722
Закарпатська,Ужгородський р-н,847
Закарпатська,Берегівський р-н,882
Закарпатська,Виноградівський р-н,971
Запорізька,Куйбишевський р-н,8
Запорізька,Бердянський р-н,22
Запорізька,Приазовський р-н,131
Запорізька,Токмацький р-н,137
Запорізька,Гуляйпільський р-н,173
Запорізька,Великобілозерський р-н,236
Запорізька,Приморський р-н,262
Запорізька,Михайлівський р-н,352
Запорізька,Кам'янсько-Дніпровський р-н,354
Запорізька,Новомиколаївський р-н,426
Запорізька,Чернігівський р-н,501
Запорізька,Розівський р-н,549
Запорізька,м.Токмак,554
Запорізька,Вільнянський р-н,577
Запорізька,Мелітопольський р-н,673
Запорізька,м.Запоріжжя,684
Запорізька,Запорізький р-н,699
Запорізька,Оріхівський р-н,745
Запорізька,Якимівський р-н,773
Запорізька,м.Мелітополь,815
Запорізька,Василівський р-н,870
Запорізька,Веселівський р-н,877
Запорізька,м.Бердянськ,910
Запорізька,Пологівський р-н,944
Кіровоградська,Ульяновський р-н,17
Кіровоградська,Гайворонський р-н,72
Кіровоградська,Петрівський р-н,171
Кіровоградська,Новомиргородський р-н,203
Кіровоградська,Новоукраїнський р-н,233
Кіровоградська,Кіровоградський р-н,389
Кіровоградська,Вільшанський р-н,390
Кіровоградська,Голованівський р-н,434
Кіровоградська,Новоархангельський р-н,448
Кіровоградська,м.Кропивницький,595
Кіровоградська,м.Знам'янка,643
Кіровоградська,Добровеличківський р-н,662
Кіровоградська,Устинівський р-н,675
Кіровоградська,Долинський р-н,679
Кіровоградська,Компаніївський р-н,692
Кіровоградська,Новгородківський р-н,709
Кіровоградська,Маловисківський р-н,714
Кіровоградська,Олександрівський р-н,827
Кіровоградська,Бобринецький р-н,902
Кіровоградська,Онуфріївський р-н,928
Кіровоградська,Олександрійський р-н,947
Кіровоградська,Знам'янський р-н,959
Кіровоградська,Олександрія,970
Київська,Яготинський р-н,64
Київська,Тетіївський р-н,72
Київська,Згурівський р-н,130
Київська,Білоцерківський р-н,168
Київська,Обухів,189
Київська,Переяслав-Хмельницький р-н,199
Київська,Поліський р-н,208
Київська,Іванківський р-н,210
Київська,Броварський р-н,283
Київська,Богуславський р-н,302
Київська,Сквирський р-н,315
Київська,Володарський р-н,337
Київська,Біла Церква,362
Київська,Бородянський р-н,511
Київська,Ставищенський р-н,517
Київська,Макарівський р-н,529
Київська,Таращанський р-н,560
Київська,м.Васильків,561
Київська,Фастів,614
Київська,Миронівський р-н,645
Київська,м.Бровари,657
Київська,Обухівський р-н,685
Київська,Києво-Святошинський р-н,696
Київська,Кагарлицький р-н,706
Київська,Рокитнянський р-н,712
Київська,Баришівський р-н,754
Київська,Бориспільський р-н,763
Київська,м.Бориспіль,853
Київська,Васильківський р-н,888
Київська,Вишгородський р-н,894
Київська,Фастівський р-н,918
Київська,Ржищів,938
Київська,м.Березань,951
Київська,Переяслав-Хмельницький,966
АР Крим,м.Сімферополь,12
АР Крим,Сакський р-н,87
АР Крим,Ленінський р-н,197
АР Крим,м.Керч,208
АР Крим,Бахчисарайський р-н,230
АР Крим,м.Судак,232
АР Крим,Джанкойський р-н,234
АР Крим,Нижньогірський р-н,246
АР Крим,м.Євпаторія,353
АР Крим,м.Феодосія,374
АР Крим,Роздольненський р-н,480
АР Крим,Первомайський р-н,541
АР Крим,м.Ялта,544
АР Крим,Красногвардійський р-н,589
АР Крим,Чорноморський р-н,623
АР Крим,м.Джанкой,663
АР Крим,Сімферопольський р-н,743
АР Крим,Кіровський р-н,797
АР Крим,Красноперекопський р-н,831
АР Крим,м.Алушта,831
АР Крим,Совєтський р-н,939
Луганська,м.Свердловськ,50
Луганська,м.Антрацит,81
Луганська,м.Рубіжне,107
Луганська,Сватівський р-н,109
Луганська,Міловський р-н,143
Луганська,м.Кадіївка,203
Луганська,Біловодський р-н,209
Луганська,Троїцький р-н,252
Луганська,Станично-Луганський р-н,337
Луганська,м.Ровеньки,340
Луганська,Марківський р-н,360
Луганська,Алчевськ,404
Луганська,Краснодонський р-н,479
Луганська,Старобільський р-н,487
Луганська,м.Сєвєродонецьк,509
Луганська,Білокуракинський р-н,544
Луганська,Слов'яносербський р-н,581
Луганська,Антрацитівський р-н,622
Луганська,Лутугинський р-н,713
Луганська,м.Луганськ,775
Луганська,м.Первомайськ,776
Луганська,Новопсковський р-н,789
Луганська,Кремінський р-н,825
Луганська,Попаснянський р-н,829
Луганська,Свердловський р-н,915
Луганська,Перевальський р-н,979
Луганська,Новоайдарський р-н,990
Львівська,Старосамбірський р-н,40
Львівська,Кам'янка-Бузький р-н,63
Львівська,Пустомитівський р-н,121
Львівська,Бродівський р-н,161
Львівська,Жидачівський р-н,186
Львівська,Яворівський р-н,235
Львівська,Сокальський р-н,288
Львівська,Перемишлянський р-н,307
Львівська,Дрогобицький р-н,324
Львівська,Стрийський р-н,363
Львівська,Буський район,374
Львівська,Жовківський р-н,391
Львівська,м.Дрогобич,421
Львівська,м.Борислав,475
Львівська,Самбірський р-н,739
Львівська,Самбір,836
Львівська,Миколаївський р-н,918
Львівська,Радехівський р-н,954
Львівська,м.Львів,985
Київ,Шевченківський р-н,190
Київ,Деснянський р-н,251
Київ,Печерський р-н,559
Київ,Дарницький р-н,867
Київ,Подільський р-н,878
Київ,Дніпровський р-н,958
Севастополь,Нахімовський р-н,19
Севастополь,Балаклавський р-н,877
Миколаївська,Очаківський р-н,24
Миколаївська,Новобузький р-н,83
Миколаївська,Вітовський р-н,98
Миколаївська,Кривоозерський р-н,162
Миколаївська,Доманівський р-н,224
Миколаївська,Врадіївський р-н,230
Миколаївська,м.Вознесенськ,327
Миколаївська,Березнегуватський р-н,337
Миколаївська,Арбузинський район,346
Миколаївська,Веселинівський р-н,369
Миколаївська,Єланецький р-н,371
Миколаївська,Казанківський р-н,386
Миколаївська,м.Миколаїв,414
Миколаївська,Братський р-н,444
Миколаївська,Вознесенський р-н,469
Миколаївська,Новоодеський р-н,496
Миколаївська,Миколаївський р-н,629
Миколаївська,Березанський р-н,631
Миколаївська,Снігурівський р-н,890
Миколаївська,Баштанський р-н,987
Одеська,м.Чорноморськ,6
Одеська,Любашівський р-н,62
Одеська,Білгород-Дністровський,63
Одеська,Березівський р-н,106
Одеська,Роздільнянський р-н,107
Одеська,Кодимський р-н,173
Одеська,Окнянський р-н,231
Одеська,Тарутинський р-н,231
Одеська,Подільський р-н,265
Одеська,Болградський р-н,282
Одеська,Овідіопольський р-н,343
Одеська,Великомихайлівський р-н,376
Одеська,Саратський р-н,389
Одеська,Татарбунарський р-н,531
Одеська,Ширяївський р-н,537
Одеська,Балтський район,582
Одеська,Кілійський р-н,630
Одеська,м.Ізмаїл,647
Одеська,Ширяївський р-н,647
Одеська,м.Подільськ,659
Одеська,Ренійський р-н,674
Одеська,Савранський р-н,722
Одеська,Арцизький р-н,748
Одеська,Лиманський р-н,788
Одеська,Ананьївський р-н,822
Одеська,Ізмаїльський р-н,946
Одеська,Біляївський р-н,948
Одеська,Білгород-Дністровський р-н,954
Одеська,м.Одеса,986
Полтавська,Новосанжарський р-н,27
Полтавська,Оржицький р-н,97
Полтавська,Полтавський р-н,164
Полтавська,Кобеляцький р-н,220
Полтавська,м.Лубни,310
Полтавська,Глобинський р-н,316
Полтавська,Чутівський р-н,359
Полтавська,Лохвицький р-н,383
Полтавська,Машівський р-н,426
Полтавська,Шишацький р-н,452
Полтавська,Семенівський р-н,479
Полтавська,м.Полтава,536
Полтавська,Решетилівський р-н,571
Полтавська,Карлівський р-н,582
Полтавська,Диканський р-н,672
Полтавська,м.Кременчук,690
Полтавська,Хорольський р-н,723
Полтавська,Кременчуцький р-н,726
Полтавська,Козельщинський р-н,729
Полтавська,Пирятинський р-н,737
Полтавська,Чорнухинський р-н,772
Полтавська,Гадяцький р-н,773
Полтавська,Гребінківський р-н,777
Полтавська,м.Миргород,850
Полтавська,Миргородський р-н,900
Полтавська,Зіньківський р-н,950
Полтавська,Котелевський р-н,961
Полтавська,Лубенський р-н,963
Рівненська,Володимирецький р-н,83
Рівненська,Березнівський р-н,116
Рівненська,Дубенський р-н,136
Рівненська,Костопільський р-н,278
Рівненська,Радивилівський р-н,293
Рівненська,Рівне,310
Рівненська,Корецький р-н,334
Рівненська,Здолбунівський р-н,354
Рівненська,Млинівський р-н,357
Рівненська,Острозький р-н,512
Рівненська,Дубровицький р-н,644
Рівненська,Сарненський р-н,685
Рівненська,Демидівський р-н,784
Рівненська,Гощанський р-н,818
Рівненська,Рокитнівський р-н,843
Рівненська,Дубно,889
Рівненська,Рівненський р-н,893
Рівненська,Зарічненський р-н,935
Сумська,м.Охтирка,13
Сумська,м.Шостка,20
Сумська,Роменський р-н,78
Сумська,м.Конотоп,105
Сумська,Конотопський р-н,337
Сумська,Буринський р-н,351
Сумська,Шосткинський р-н,440
Сумська,Охтирський р-н,533
Сумська,Білопільський район,557
Сумська,Глухів,597
Сумська,Лебединський р-н,638
Сумська,м.Суми,654
Сумська,Середино-Будський р-н,660
Сумська,Великописарівський р-н,690
Сумська,Кролевецький р-н,764
Сумська,Ромни,776
Сумська,Глухівський р-н,807
Сумська,Недригайлівський р-н,835
Сумська,Сумський р-н,847
Сумська,Липоводолинський р-н,859
Сумська,Краснопільський р-н,864
Сумська,Путивльський район,878
Сумська,м.Лебедин,953
Тернопільська,Тернопіль,39
Тернопільська,Тернопільський р-н,126
Тернопільська,Теребовлянський р-н,206
Тернопільська,Збаразький р-н,233
Тернопільська,Чортківський р-н,238
Тернопільська,Гусятинський р-н,250
Тернопільська,Зборівський р-н,260
Тернопільська,Козівський р-н,299
Тернопільська,Кременецький р-н,411
Тернопільська,Заліщицький р-н,491
Тернопільська,Борщівський р-н,516
Тернопільська,Шумський р-н,629
Тернопільська,Лановецький р-н,750
Тернопільська,Монастириський р-н,765
Тернопільська,Підгаєцький р-н,791
Тернопільська,Бучацький р-н,877
Тернопільська,Підволочиський р-н,923
Тернопільська,Бережанський р-н,985
Харківська,Близнюківський р-н,66
Харківська,Великобурлуцький р-н,86
Харківська,Чугуївський р-н,166
Харківська,Дергачівський р-н,212
Харківська,Ізюм,217
Харківська,Богодухівський р-н,365
Харківська,м.Лозова,396
Харківська,Зміївський р-н,469
Харківська,Лозівський р-н,490
Харківська,Первомайський,510
Харківська,Чугуїв,537
Харківська,Балаклійський р-н,602
Харківська,Барвінківський р-н,612
Харківська,Красноградський р-н,612
Харківська,Коломацький р-н,623
Харківська,Дворічанський р-н,652
Харківська,Золочівський р-н,655
Харківська,Борівський р-н,664
Харківська,Зачепилівський р-н,699
Харківська,Люботин,711
Харківська,Краснокутський р-н,713
Харківська,Сахновщинський р-н,745
Харківська,Нововодолазький р-н,768
Харківська,Печенізький р-н,782
Харківська,Вовчанський р-н,829
Харківська,Куп'янський р-н,833
Харківська,Харківський р-н,842
Харківська,м.Куп'янськ,858
Харківська,Ізюмський р-н,888
Харківська,Кегичівський р-н,895
Харківська,м.Харків,897
Харківська,Валківський р-н,992
Херсонська,Скадовський р-н,68
Херсонська,Новотроїцький р-н,154
Херсонська,Голопристанський р-н,158
Херсонська,Нижньосірогозький р-н,219
Херсонська,Горностаївський р-н,277
Херсонська,Каховський р-н,282
Херсонська,м.Нова Каховка,303
Херсонська,Каланчацький р-н,304
Херсонська,Іванівський р-н,314
Херсонська,Бериславський р-н,392
Херсонська,Нововоронцовський р-н,461
Херсонська,Великоолександрівський р-н,475
Херсонська,Генічеський р-н,501
Херсонська,Олешківський р-н,605
Херсонська,Каховка,624
Херсонська,Високопільський р-н,639
Херсонська,Великолепетиський р-н,758
Херсонська,Чаплинський р-н,769
Херсонська,Білозерський р-н,869
Херсонська,Верхньорогачицький р-н,872
Херсонська,м.Херсон,889
Хмельницька,Деражнянський р-н,5
Хмельницька,м.Кам'янець-Подільський,53
Хмельницька,Чемеровецький р-н,81
Хмельницька,Старокостянтинівський р-н,91
Хмельницька,Городоцький р-н,169
Хмельницька,Волочиський р-н,185
Хмельницька,Віньковецький р-н,193
Хмельницька,Шепетівський р-н,194
Хмельницька,Ізяславський р-н,262
Хмельницька,Кам'янець-Подільський р-н,321
Хмельницька,м.Хмельницький,382
Хмельницька,Шепетівка,394
Хмельницька,Новоушицький р-н,405
Хмельницька,Білогірський р-н,424
Хмельницька,Полонський р-н,439
Хмельницька,Хмельницький р-н,456
Хмельницька,Старосинявський р-н,470
Хмельницька,Красилівський р-н,487
Хмельницька,Дунаєвецький р-н,559
Хмельницька,Ярмолинецький р-н,573
Хмельницька,Теофіпольський р-н,616
Хмельницька,Славутський р-н,830
Хмельницька,Летичівський р-н,838
Черкаська,Уманський р-н,42
Черкаська,Чорнобаївський р-н,52
Черкаська,Маньківський р-н,101
Черкаська,м.Золотоноша,178
Черкаська,Катеринопільський р-н,216
Черкаська,Звенигородський р-н,229
Черкаська,Шполянський р-н,264
Черкаська,Чигиринський р-н,359
Черкаська,м.Черкаси,366
Черкаська,Кам'янський р-н,489
Черкаська,Монастирищенський р-н,489
Черкаська,Драбівський р-н,538
Черкаська,Жашківський р-н,603
Черкаська,Лисянський р-н,664
Черкаська,Смілянський р-н,689
Черкаська,м.Сміла,694
Черкаська,Тальнівський р-н,748
Черкаська,Канівський р-н,757
Черкаська,Городищенський р-н,780
Черкаська,Золотоніський р-н,784
Черкаська,Черкаський р-н,841
Черкаська,Корсунь-Шевченківський р-н,876
Черкаська,м.Умань,926
Черкаська,Христинівський р-н,972
Чернівецька,Новоселицький р-н,24
Чернівецька,Герцаївський р-н,89
Чернівецька,м.Чернівці,185
Чернівецька,Сокирянський р-н,285
Чернівецька,Хотинський р-н,480
Чернівецька,Глибоцький р-н,672
Чернівецька,Кельменецький р-н,677
Чернівецька,Сторожинецький р-н,750
Чернівецька,Вижницький р-н,819
Чернівецька,Заставнівський р-н,820
Чернівецька,Кіцманський р-н,910
Чернігівська,Носівський район,26
Чернігівська,Куликівський р-н,62
Чернігівська,Ічнянський р-н,64
Чернігівська,Сновський р-н,81
Чернігівська,Талалаївський р-н,161
Чернігівська,Ріпкинський р-н,171
Чернігівська,Ніжин,213
Чернігівська,Сосницький р-н,227
Чернігівська,Прилуцький р-н,302
Чернігівська,Борзнянський р-н,304
Чернігівська,Корюківський р-н,424
Чернігівська,Прилуки,508
Чернігівська,Варвинський р-н,516
Чернігівська,Ніжинський р-н,521
Чернігівська,Новгород-Сіверський р-н,525
Чернігівська,Бобровицький р-н,615
Чернігівська,Козелецький р-н,663
Чернігівська,Срібнянський р-н,718
Чернігівська,Коропський р-н,855
Чернігівська,Городнянський р-н,910
Чернігівська,м.Чернігів,938
Чернігівська,Менський р-н,975
Чернігівська,Бахмацький р-н,993
